notebook,experiment,model_type,scenario,cv_fitness,threshold,recall,f2,f1,precision,roc_auc,TP,FN,FP,status,fn_delta_pct,fp_delta_pct
BASELINE,Fase1_RandomizedSearch,histgb,B,,0.4,0.8088172653698708,0.3829322398494219,0.21394903382096112,0.12327951869806095,0.6525423136842401,11393,2693,81023,BASELINE,2.5,-1.3
01_AG,Exp1_conservador,histgb,B,-0.4990416356085614,0.4,0.8107340621894079,0.3816513270905603,0.21275208420660427,0.12244154006154243,0.6502683846575721,11420,2666,81849,APROVADO,1.5,-0.3
01_AG,Exp2_padrao,histgb,B,-0.49735562417917867,0.4,0.8171233849211984,0.3819909994822711,0.21236162361623617,0.12203914583200798,0.6511642337625343,11510,2576,82804,APROVADO,-1.9,0.9
01_AG,Exp3_exploratorio,histgb,B,-0.49797678628474074,0.4,0.8127928439585403,0.3816765900135349,0.21255975864469714,0.12226743130533219,0.6515393495352984,11449,2637,82190,APROVADO,0.4,0.1
02_AG_threshold040,Exp1_conservador,histgb,B,-0.4990416356085614,0.4,0.8107340621894079,0.3816513270905603,0.21275208420660427,0.12244154006154243,0.6502683846575721,11420,2666,81849,APROVADO,1.5,-0.3
02_AG_threshold040,Exp2_padrao,histgb,B,-0.49735562417917867,0.4,0.8171233849211984,0.3819909994822711,0.21236162361623617,0.12203914583200798,0.6511642337625343,11510,2576,82804,APROVADO,-1.9,0.9
02_AG_threshold040,Exp3_exploratorio,histgb,B,-0.49797678628474074,0.4,0.8127928439585403,0.3816765900135349,0.21255975864469714,0.12226743130533219,0.6515393495352984,11449,2637,82190,APROVADO,0.4,0.1
02_AG_threshold040,Exp4_hotstart,histgb,B,-0.49735562417917867,0.4,0.8171233849211984,0.3819909994822711,0.21236162361623617,0.12203914583200798,0.6511642337625343,11510,2576,82804,APROVADO,-1.9,0.9
03_AG_expanded_search,Exp1_conservador,histgb,B,-0.9906470734391084,0.4,0.8229447678546075,0.38089229737988683,0.21093430138930588,0.12097051917558048,0.6521293984448604,11592,2494,84233,APROVADO,-5.1,2.6
03_AG_expanded_search,Exp2_padrao,histgb,B,-0.989138536897029,0.4,0.8301860002839699,0.38001585836658824,0.20956238127665675,0.11991632314034333,0.6520575434757016,11694,2392,85824,APROVADO,-8.9,4.6
03_AG_expanded_search,Exp3_exploratorio,histgb,B,-0.9893692542505236,0.4,0.8179043021439727,0.3804721143430821,0.21111172191376687,0.12119713864927414,0.6518771616397321,11521,2565,83539,APROVADO,-2.4,1.8
03_AG_expanded_search,Exp4_hotstart,histgb,B,-0.9897242040251304,0.4,0.8144256708788868,0.38236176382361764,0.21292352236977644,0.12247120239988897,0.6515854103982843,11472,2614,82199,APROVADO,-0.5,0.1
05_AG_random_forest,Exp1_conservador,rf,B,-0.5253611613956626,0.4,0.020303847792134035,0.025112391121101432,0.03894865858640882,0.4766666666666667,0.6353931928816791,286,13800,314,REPROVADO,425.3,-99.6
05_AG_random_forest,Exp2_padrao,rf,B,-0.5252546764632804,0.4,0.021155757489706092,0.02615044403102952,0.04048913043478261,0.47003154574132494,0.6354845185250695,298,13788,336,REPROVADO,424.9,-99.6
05_AG_random_forest,Exp3_exploratorio,rf,B,-0.5246335143577183,0.4,0.01810308107340622,0.022423496306718256,0.03492672236679907,0.4941860465116279,0.6457653554142089,255,13831,261,REPROVADO,426.5,-99.7
05_AG_random_forest,Exp4_hotstart,rf,B,-0.5242253221169204,0.4,0.004117563538264944,0.005135288284459555,0.00816096805965949,0.453125,0.6397774873097023,58,14028,70,REPROVADO,434.0,-99.9
06_co_evolution,Cenario_A,histgb,A,-1.2542,0.45,0.6503620616214681,0.3778760404893703,0.2320444787801264,0.1412143726974242,0.649931314819278,9161,4925,55712,REPROVADO,87.5,-32.1
06_co_evolution,Cenario_B,histgb,B,-1.2404,0.5,0.4911969331250887,0.3568886367153247,0.25308630685663075,0.17045650513660662,0.6520489981117219,6919,7167,33672,REPROVADO,172.8,-59.0
06_co_evolution,Cenario_C,histgb,C,-1.2405,0.35,0.9479625159733068,0.37113728716514816,0.19403494750608494,0.10807857611150232,0.6529362168341764,13353,733,110196,REPROVADO,-72.1,34.2
06_co_evolution,Exp1_conservador,histgb,B,-1.2368104572825838,0.45,0.6603720005679398,0.38129514096688777,0.23336385644936716,0.14172316599375334,0.6510535837225817,9302,4784,56333,REPROVADO,82.1,-31.4
06_co_evolution,Exp2_padrao,histgb,B,-1.240404317135091,0.5,0.4911969331250887,0.3568886367153247,0.25308630685663075,0.17045650513660662,0.6520489981117219,6919,7167,33672,REPROVADO,172.8,-59.0
06_co_evolution,Exp3_exploratorio,histgb,B,-1.2418874845287942,0.5,0.49495953428936534,0.35810040371043794,0.25311768229592113,0.17003633880447772,0.6527188344767496,6972,7114,34031,REPROVADO,170.8,-58.5
06_co_evolution,Exp4_hotstart,histgb,B,-1.2376736184588901,0.5,0.49162288797387477,0.35738615251228273,0.2535422692490755,0.17081894425259003,0.6525563780961067,6925,7161,33615,REPROVADO,172.6,-59.0
